id;name;link;specialization;films_years;description;path_to_folder
31385;Олег Кавун;https://www.kinopoisk.ru/name/293614;Сценарист,Режиссер,Актер;14, 1990 — 2017;ЭТО Я;actors_ussr_russia/31385
20447;Юлия Городецкая;https://www.kinopoisk.ru/name/6628310;Продюсер;8, 2017 — 2022;Команда МАТЧ,Монсики,Спорт Тоша,ДиноСити,Дракоша Тоша;actors_ussr_russia/20447
9064;Юлдус Бахтиозина;https://www.kinopoisk.ru/name/5900351;Режиссер,Актриса,Сценарист,Продюсер,Оператор,Художник;3, 2017 — 2020;;actors_ussr_russia/9064
43167;Айгуль Баканова;https://www.kinopoisk.ru/name/2490934;Режиссер,Сценарист,Продюсер,Монтажер;4, 2008 — 2014;;actors_ussr_russia/43167
26787;Ирина Марцинкевич;https://www.kinopoisk.ru/name/2906147;Актриса;19, 2012 — 2023;Нежность,Фишер,Обратная сторона Луны,Такая работа,Другие;actors_ussr_russia/26787
4180;Татьяна Егорова;https://www.kinopoisk.ru/name/256979;Актриса,Сценарист;28, 1965 — 2019;Время желаний,Безумный день, или Женитьба Фигаро,Однажды двадцать лет спустя,Проснись и пой,Гив ми либерти;actors_ussr_russia/4180
46388;Say Moor;https://www.kinopoisk.ru/name/5331846;Композитор;2, 2018 — 2018;;actors_ussr_russia/46388
5811;Александр Мизёв;https://www.kinopoisk.ru/name/4074565;Актер;26, 2013 — 2023;Страсти по Матвею,Убить Риту,Угрюм-река,The Телки,Фантом,Переговорщик;actors_ussr_russia/5811
2560;Анна Плетнёва;https://www.kinopoisk.ru/name/2338096;Актриса,Композитор;13, 2006 — 2023;Подкидыш,Конфетка;actors_ussr_russia/2560
20448;Серги Хочолава;https://www.kinopoisk.ru/name/6880485;Актер;7, 2019 — 2023;Чемпион мира,Регби,Трудные подростки,Дылды,Акушер;actors_ussr_russia/20448
927;Алексей Коряков;https://www.kinopoisk.ru/name/1816960;Актер;32, 2007 — 2023;Тайна Лилит,Преступление,Оффлайн,Общая терапия 2;actors_ussr_russia/927
